StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q_RecaptchaScore,Q_BallotBoxStuffing,Q5,Q6,Q8,Q9,Q10,Q16,Q17,Q18,Q11,Q12,Q13,Q14,Q3,Q3_4_TEXT,Q4,Q20,SC0,Score
2025-03-14 14:46:05,2025-03-14 14:47:53,IP Address,69.6.101.136,100,107,True,2025-03-14 14:47:53,R_5dFx64qVMH05ICy,,,,,44.5928,-75.1726,anonymous,EN,1,,Neither agree nor disagree,No,Strongly disagree,Somewhat agree,Strongly agree,"Yes, I will proceed with questions that include pictures of snakes.","IM_2lGxsiH4vRe9cG9,IM_XlMlczVqhMZo0zG,IM_zLbGdV01rxORYdo,1",IM_zLbGdV01rxORYdo,Strongly agree,Strongly agree,Somewhat disagree,Strongly agree,Woman,,50+,No,12,12
2025-03-14 14:45:36,2025-03-14 14:48:15,IP Address,69.6.101.95,100,158,True,2025-03-14 14:48:15,R_3rvUunmOU6k4BPj,,,,,44.5928,-75.1726,anonymous,EN,1,,Somewhat disagree,No,Strongly disagree,Somewhat agree,Neither agree nor disagree,"Yes, I will proceed with questions that include pictures of snakes.","IM_2lGxsiH4vRe9cG9,IM_MxZjv2tEeUzJljT,IM_zLbGdV01rxORYdo,1",IM_zLbGdV01rxORYdo,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Man,,33 - 50,No,12,12
2025-03-14 14:48:06,2025-03-14 14:49:37,IP Address,69.6.110.1,100,91,True,2025-03-14 14:49:39,R_6EGzTektHmldHah,,,,,44.5928,-75.1726,anonymous,EN,0.8999999761581421,,Neither agree nor disagree,Yes,Strongly disagree,Somewhat agree,Neither agree nor disagree,"Yes, I will proceed with questions that include pictures of snakes.","IM_2lGxsiH4vRe9cG9,IM_MxZjv2tEeUzJljT,1",IM_9BwARSdPzIIprKK,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Man,,26 - 32,Yes,12,12
2025-03-14 14:49:52,2025-03-14 14:51:39,IP Address,69.6.112.93,100,106,True,2025-03-14 14:51:39,R_6BA0aAD6v2lucb2,,,,,44.5928,-75.1726,anonymous,EN,1,,Somewhat agree,No,Strongly disagree,Somewhat agree,Neither agree nor disagree,"Yes, I will proceed with questions that include pictures of snakes.","IM_2lGxsiH4vRe9cG9,IM_XlMlczVqhMZo0zG,IM_zLbGdV01rxORYdo",IM_zLbGdV01rxORYdo,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Woman,,33 - 50,No,12,12
2025-03-14 14:50:11,2025-03-14 14:51:41,IP Address,172.226.198.15,100,90,True,2025-03-14 14:51:43,R_1xFcATDCUPZyvzA,,,,,40.7126,-74.0066,anonymous,EN,1,,Strongly disagree,Yes,Strongly disagree,Somewhat agree,Neither agree nor disagree,"Yes, I will proceed with questions that include pictures of snakes.","IM_2lGxsiH4vRe9cG9,IM_MxZjv2tEeUzJljT,IM_zLbGdV01rxORYdo",IM_2lGxsiH4vRe9cG9,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Woman,,33 - 50,Yes,12,12
2025-03-14 14:50:32,2025-03-14 14:52:40,IP Address,69.6.118.219,100,128,True,2025-03-14 14:52:41,R_1mCQIUwEbDdphZs,,,,,44.5928,-75.1726,anonymous,EN,0.8999999761581421,,Somewhat agree,Yes,Somewhat disagree,Somewhat agree,Somewhat agree,"Yes, I will proceed with questions that include pictures of snakes.","IM_2lGxsiH4vRe9cG9,IM_MxZjv2tEeUzJljT,IM_zLbGdV01rxORYdo",IM_2lGxsiH4vRe9cG9,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Man,,50+,Yes,12,12
2025-03-14 14:49:54,2025-03-14 14:53:03,IP Address,69.6.119.159,100,188,True,2025-03-14 14:53:03,R_796xaV2MC4YHade,,,,,44.5928,-75.1726,anonymous,EN,1,,Strongly disagree,Yes,Somewhat agree,Strongly agree,Neither agree nor disagree,"Yes, I will proceed with questions that include pictures of snakes.","IM_SqhUYCgOPt3dpo8,IM_XlMlczVqhMZo0zG,IM_zLbGdV01rxORYdo,1",IM_zLbGdV01rxORYdo,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Woman,,33 - 50,Yes,12,12
2025-03-14 14:50:23,2025-03-14 14:55:07,IP Address,104.28.55.231,100,283,True,2025-03-14 14:55:07,R_3aS9r88UqI3CAcH,,,,,40.6186,-73.9272,anonymous,EN,1,,Somewhat disagree,Yes,Somewhat disagree,Somewhat agree,Somewhat agree,"Yes, I will proceed with questions that include pictures of snakes.","IM_2lGxsiH4vRe9cG9,IM_SqhUYCgOPt3dpo8,IM_MxZjv2tEeUzJljT,IM_zLbGdV01rxORYdo",IM_zLbGdV01rxORYdo,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Man,,50+,Yes,12,12
2025-03-14 14:52:53,2025-03-14 14:55:02,IP Address,38.248.43.189,100,129,True,2025-03-14 14:55:10,R_1DnGnZaB51dlSkp,,,,,44.7273,-75.321,anonymous,EN,1,,Neither agree nor disagree,Yes,Somewhat agree,Somewhat agree,Neither agree nor disagree,"Yes, I will proceed with questions that include pictures of snakes.","IM_2lGxsiH4vRe9cG9,IM_SqhUYCgOPt3dpo8,IM_MxZjv2tEeUzJljT,IM_zLbGdV01rxORYdo",IM_zLbGdV01rxORYdo,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Woman,,33 - 50,Yes,12,12
2025-03-14 14:51:59,2025-03-14 14:55:32,IP Address,68.216.63.78,100,212,True,2025-03-14 14:55:32,R_1WUNsEhJFwSQPhN,,,,,40.6704,-73.6981,anonymous,EN,1,,Strongly disagree,No,Strongly disagree,Strongly agree,Neither agree nor disagree,"Yes, I will proceed with questions that include pictures of snakes.","IM_2lGxsiH4vRe9cG9,IM_zLbGdV01rxORYdo,1",IM_zLbGdV01rxORYdo,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Woman,,Prefer not to say,No,12,12
2025-03-14 14:52:52,2025-03-14 14:55:54,IP Address,69.6.127.104,100,182,True,2025-03-14 14:55:55,R_3JEMG5rp6lOblUI,,,,,44.5928,-75.1726,anonymous,EN,1,,Somewhat disagree,No,Strongly disagree,Strongly agree,Neither agree nor disagree,"Yes, I will proceed with questions that include pictures of snakes.","IM_2lGxsiH4vRe9cG9,IM_SqhUYCgOPt3dpo8,IM_MxZjv2tEeUzJljT,1",IM_zLbGdV01rxORYdo,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,Woman,,50+,Yes,12,12
2025-03-14 14:55:51,2025-03-14 14:58:52,IP Address,67.249.18.232,100,181,True,2025-03-14 14:58:53,R_3LLPB9ZVADxxt2j,,,,,44.6611,-74.9708,anonymous,EN,1,,Somewhat disagree,Yes,Somewhat disagree,Strongly agree,Neither agree nor disagree,"Yes, I will proceed with questions that include pictures of snakes.","IM_2lGxsiH4vRe9cG9,IM_MxZjv2tEeUzJljT,IM_zLbGdV01rxORYdo",IM_zLbGdV01rxORYdo,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Prefer not to say,,33 - 50,No,12,12
2025-03-14 14:58:06,2025-03-14 14:59:36,IP Address,67.241.82.163,100,90,True,2025-03-14 14:59:36,R_70THLvdVh0ZMIKq,,,,,44.6611,-74.9708,anonymous,EN,1,,Somewhat disagree,No,Strongly disagree,Somewhat agree,Somewhat agree,"Yes, I will proceed with questions that include pictures of snakes.","IM_2lGxsiH4vRe9cG9,IM_MxZjv2tEeUzJljT,IM_zLbGdV01rxORYdo,1",IM_2lGxsiH4vRe9cG9,Strongly disagree,Strongly agree,Somewhat agree,Strongly agree,Woman,,33 - 50,Yes,12,12
2025-03-14 15:00:41,2025-03-14 15:03:01,IP Address,69.6.101.144,100,139,True,2025-03-14 15:03:01,R_7eJf89ZnTKAoOnT,,,,,44.5928,-75.1726,anonymous,EN,1,,Somewhat agree,Yes,Somewhat agree,Somewhat agree,Strongly agree,"Yes, I will proceed with questions that include pictures of snakes.","IM_2lGxsiH4vRe9cG9,IM_MxZjv2tEeUzJljT,IM_zLbGdV01rxORYdo",IM_zLbGdV01rxORYdo,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Woman,,33 - 50,Yes,12,12
2025-03-14 14:57:26,2025-03-14 15:03:23,IP Address,69.6.110.88,100,356,True,2025-03-14 15:03:24,R_11LniKhy2nuVWox,,,,,44.5928,-75.1726,anonymous,EN,1,,Strongly disagree,Yes,Strongly disagree,Somewhat agree,Neither agree nor disagree,"Yes, I will proceed with questions that include pictures of snakes.","IM_2lGxsiH4vRe9cG9,IM_MxZjv2tEeUzJljT,IM_zLbGdV01rxORYdo",IM_zLbGdV01rxORYdo,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Man,,33 - 50,Yes,12,12
2025-03-14 14:57:08,2025-03-14 15:04:13,IP Address,69.6.111.125,100,424,True,2025-03-14 15:04:13,R_6SeIjk5Ih8n6WSl,,,,,44.5928,-75.1726,anonymous,EN,1,,Strongly disagree,Yes,Somewhat agree,Strongly agree,Strongly disagree,"Yes, I will proceed with questions that include pictures of snakes.","IM_2lGxsiH4vRe9cG9,IM_MxZjv2tEeUzJljT,IM_XlMlczVqhMZo0zG,IM_zLbGdV01rxORYdo",IM_zLbGdV01rxORYdo,Somewhat agree,Somewhat disagree,Strongly agree,Somewhat agree,Woman,,26 - 32,Yes,12,12
2025-03-14 15:02:47,2025-03-14 15:05:57,IP Address,67.249.28.220,100,189,True,2025-03-14 15:05:57,R_7OYn0vLgXytfamZ,,,,,44.6611,-74.9708,anonymous,EN,1,,Strongly agree,Yes,Somewhat agree,Somewhat disagree,Strongly agree,"Yes, I will proceed with questions that include pictures of snakes.","IM_2lGxsiH4vRe9cG9,IM_MxZjv2tEeUzJljT,IM_XlMlczVqhMZo0zG,IM_zLbGdV01rxORYdo",IM_zLbGdV01rxORYdo,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Man,,50+,Yes,12,12
2025-03-14 15:01:15,2025-03-14 15:08:37,IP Address,69.6.101.127,100,442,True,2025-03-14 15:08:37,R_3EuHpwp3CkrylaK,,,,,44.5928,-75.1726,anonymous,EN,1,,Somewhat disagree,No,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,"Yes, I will proceed with questions that include pictures of snakes.","IM_2lGxsiH4vRe9cG9,IM_MxZjv2tEeUzJljT,IM_zLbGdV01rxORYdo,1",IM_zLbGdV01rxORYdo,Strongly agree,Strongly agree,Somewhat disagree,Strongly disagree,Woman,,33 - 50,Yes,12,12
2025-03-14 15:09:43,2025-03-14 15:12:51,IP Address,67.255.5.30,100,188,True,2025-03-14 15:12:51,R_7RHPXBke3Sftbyx,,,,,44.8509,-74.2927,anonymous,EN,1,,Strongly disagree,No,Strongly disagree,Strongly agree,Somewhat disagree,"Yes, I will proceed with questions that include pictures of snakes.","IM_MxZjv2tEeUzJljT,IM_zLbGdV01rxORYdo",IM_zLbGdV01rxORYdo,Strongly agree,Strongly agree,Somewhat disagree,Somewhat agree,Man,,33 - 50,Yes,12,12
2025-03-14 15:15:38,2025-03-14 15:17:51,IP Address,69.6.125.31,100,133,True,2025-03-14 15:17:52,R_3yGpKFYScQVZp8l,,,,,44.5928,-75.1726,anonymous,EN,1,,Strongly disagree,No,Strongly disagree,Strongly agree,Somewhat disagree,"Yes, I will proceed with questions that include pictures of snakes.","IM_zLbGdV01rxORYdo,1",IM_zLbGdV01rxORYdo,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Woman,,33 - 50,Yes,12,12
2025-03-14 15:18:10,2025-03-14 15:21:15,IP Address,69.6.101.216,100,184,True,2025-03-14 15:21:15,R_1KB1XHwh16ydVRV,,,,,44.5928,-75.1726,anonymous,EN,0.8999999761581421,,Neither agree nor disagree,No,Strongly disagree,Strongly agree,Strongly agree,"Yes, I will proceed with questions that include pictures of snakes.",,IM_zLbGdV01rxORYdo,Strongly agree,Neither agree nor disagree,Strongly agree,Strongly agree,Man,,33 - 50,Yes,12,12
2025-03-14 15:21:38,2025-03-14 15:22:49,IP Address,69.6.101.152,100,71,True,2025-03-14 15:22:50,R_1zWBC4bthcX2uGd,,,,,44.5928,-75.1726,anonymous,EN,1,,Neither agree nor disagree,No,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,"No, I would rather skip these questions.",,,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Woman,,26 - 32,Yes,12,12
2025-03-14 15:26:45,2025-03-14 15:28:15,IP Address,69.6.124.93,100,90,True,2025-03-14 15:28:16,R_32QKbHYsh6d0FMv,,,,,44.5928,-75.1726,anonymous,EN,1,,Neither agree nor disagree,No,Somewhat disagree,Somewhat agree,Somewhat agree,"Yes, I will proceed with questions that include pictures of snakes.","IM_2lGxsiH4vRe9cG9,IM_zLbGdV01rxORYdo",IM_zLbGdV01rxORYdo,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Man,,26 - 32,Yes,12,12
2025-03-14 15:27:08,2025-03-14 15:29:28,IP Address,104.229.183.169,100,139,True,2025-03-14 15:29:28,R_3qkX6c61M9oK3Vn,,,,,44.6611,-74.9708,anonymous,EN,1,,Strongly disagree,Yes,Somewhat agree,Somewhat agree,Neither agree nor disagree,"No, I would rather skip these questions.",,,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Woman,,33 - 50,Yes,12,12
2025-03-14 15:27:47,2025-03-14 15:31:01,IP Address,69.6.101.148,100,193,True,2025-03-14 15:31:02,R_3r2iz8MMu2rDzCq,,,,,44.5928,-75.1726,anonymous,EN,1,,Strongly disagree,No,Strongly disagree,Strongly agree,Neither agree nor disagree,"Yes, I will proceed with questions that include pictures of snakes.","IM_2lGxsiH4vRe9cG9,IM_MxZjv2tEeUzJljT,IM_zLbGdV01rxORYdo",IM_SqhUYCgOPt3dpo8,Strongly agree,Strongly agree,Somewhat disagree,Strongly agree,Woman,,50+,Yes,12,12
2025-03-14 15:28:59,2025-03-14 15:31:28,IP Address,108.12.48.192,100,148,True,2025-03-14 15:31:28,R_5OoGc0mib4RdFHX,,,,,43.0842,-75.2287,anonymous,EN,1,,Somewhat disagree,Yes,Somewhat agree,Neither agree nor disagree,Somewhat agree,"Yes, I will proceed with questions that include pictures of snakes.","IM_2lGxsiH4vRe9cG9,IM_MxZjv2tEeUzJljT,IM_zLbGdV01rxORYdo,1",IM_zLbGdV01rxORYdo,Strongly agree,Strongly agree,Neither agree nor disagree,Strongly agree,Man,,50+,No,12,12
2025-03-14 15:33:00,2025-03-14 15:34:54,IP Address,69.6.101.167,100,114,True,2025-03-14 15:34:55,R_1cB1sq6ULasefyW,,,,,44.5928,-75.1726,anonymous,EN,1,,Strongly disagree,Yes,Somewhat agree,Strongly agree,Somewhat disagree,"No, I would rather skip these questions.",,,Strongly agree,Strongly agree,Somewhat agree,Neither agree nor disagree,Woman,,33 - 50,No,12,12
2025-03-14 15:26:06,2025-03-14 15:35:38,IP Address,76.37.240.6,100,572,True,2025-03-14 15:35:39,R_7jkpF0XfxJUrzwY,,,,,44.6611,-74.9708,anonymous,EN,0.8999999761581421,,Somewhat agree,Yes,Strongly disagree,Somewhat agree,Somewhat agree,"Yes, I will proceed with questions that include pictures of snakes.","IM_2lGxsiH4vRe9cG9,IM_MxZjv2tEeUzJljT,IM_zLbGdV01rxORYdo,1",IM_zLbGdV01rxORYdo,Strongly agree,Strongly agree,Somewhat disagree,Strongly agree,Woman,,18 - 25,Yes,12,12
2025-03-14 15:49:25,2025-03-14 15:51:39,IP Address,69.6.122.229,100,133,True,2025-03-14 15:51:39,R_6M9zJQSvcH2G7Ns,,,,,44.5928,-75.1726,anonymous,EN,1,,Somewhat agree,Yes,Strongly disagree,Somewhat agree,Neither agree nor disagree,"Yes, I will proceed with questions that include pictures of snakes.","IM_2lGxsiH4vRe9cG9,IM_MxZjv2tEeUzJljT,IM_zLbGdV01rxORYdo",IM_zLbGdV01rxORYdo,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Woman,,26 - 32,Yes,12,12
2025-03-14 15:52:07,2025-03-14 15:53:30,IP Address,67.249.5.234,100,82,True,2025-03-14 15:53:30,R_7KJvwK3VWTV9QOZ,,,,,44.5928,-75.1726,anonymous,EN,0.8999999761581421,,Strongly disagree,Yes,Somewhat disagree,Somewhat disagree,Strongly disagree,"Yes, I will proceed with questions that include pictures of snakes.","IM_2lGxsiH4vRe9cG9,IM_MxZjv2tEeUzJljT,IM_zLbGdV01rxORYdo",IM_zLbGdV01rxORYdo,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Man,,50+,Yes,12,12
2025-03-14 15:51:29,2025-03-14 15:53:49,IP Address,69.6.101.24,100,139,True,2025-03-14 15:53:50,R_7C3p5W4laU7xVpT,,,,,44.5928,-75.1726,anonymous,EN,1,,Somewhat disagree,No,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,"Yes, I will proceed with questions that include pictures of snakes.","IM_MxZjv2tEeUzJljT,IM_XlMlczVqhMZo0zG,1",IM_MxZjv2tEeUzJljT,Strongly agree,Strongly agree,Somewhat agree,Neither agree nor disagree,Woman,,33 - 50,Yes,12,12
2025-03-14 15:53:29,2025-03-14 15:55:12,IP Address,67.249.1.249,100,103,True,2025-03-14 15:55:12,R_3Crsuew1zZEQhAl,,,,,44.6611,-74.9708,anonymous,EN,1,,Neither agree nor disagree,Yes,Somewhat agree,Neither agree nor disagree,Strongly agree,"Yes, I will proceed with questions that include pictures of snakes.","IM_2lGxsiH4vRe9cG9,IM_MxZjv2tEeUzJljT,IM_zLbGdV01rxORYdo",IM_zLbGdV01rxORYdo,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Woman,,33 - 50,No,12,12
2025-03-14 16:22:55,2025-03-14 16:25:00,IP Address,69.6.110.249,100,124,True,2025-03-14 16:25:00,R_67vle68kVqwQpQR,,,,,44.5928,-75.1726,anonymous,EN,1,,Strongly disagree,No,Strongly disagree,Strongly agree,Strongly disagree,"Yes, I will proceed with questions that include pictures of snakes.","IM_2lGxsiH4vRe9cG9,IM_MxZjv2tEeUzJljT,IM_XlMlczVqhMZo0zG,IM_zLbGdV01rxORYdo",IM_zLbGdV01rxORYdo,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Man,,18 - 25,Yes,12,12
2025-03-14 16:35:21,2025-03-14 16:41:08,IP Address,38.248.33.66,100,346,True,2025-03-14 16:41:09,R_7DY9Tfe3CzO5is3,,,,,44.826,-74.5248,anonymous,EN,0.8999999761581421,,Strongly agree,Yes,Strongly agree,Somewhat agree,Somewhat agree,"Yes, I will proceed with questions that include pictures of snakes.","IM_2lGxsiH4vRe9cG9,IM_MxZjv2tEeUzJljT,IM_zLbGdV01rxORYdo",IM_zLbGdV01rxORYdo,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Man,,50+,No,12,12
2025-03-14 16:47:29,2025-03-14 16:50:38,IP Address,64.44.118.61,100,188,True,2025-03-14 16:50:38,R_14kEkrtWOTo8S0s,,,,,42.8864,-78.8781,anonymous,EN,0.8999999761581421,,Strongly disagree,Yes,Neither agree nor disagree,Somewhat agree,Strongly agree,"Yes, I will proceed with questions that include pictures of snakes.","IM_2lGxsiH4vRe9cG9,IM_zLbGdV01rxORYdo",IM_zLbGdV01rxORYdo,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Prefer not to say,,26 - 32,Yes,12,12
2025-03-14 17:51:48,2025-03-14 17:54:37,IP Address,98.97.23.121,100,168,True,2025-03-14 17:54:37,R_1wAb2UuXsTjpxx8,,,,,40.7126,-74.0066,anonymous,EN,1,,Neither agree nor disagree,Yes,Somewhat agree,Neither agree nor disagree,Somewhat agree,"Yes, I will proceed with questions that include pictures of snakes.","IM_2lGxsiH4vRe9cG9,IM_zLbGdV01rxORYdo",IM_zLbGdV01rxORYdo,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Man,,33 - 50,Yes,12,12
2025-03-14 17:57:15,2025-03-14 18:01:47,IP Address,38.248.35.83,100,271,True,2025-03-14 18:01:47,R_7k16chdqPusi1M9,,,,,44.7273,-75.321,anonymous,EN,0.8999999761581421,,Strongly agree,Yes,Somewhat agree,Somewhat disagree,Somewhat agree,"Yes, I will proceed with questions that include pictures of snakes.","IM_MxZjv2tEeUzJljT,IM_XlMlczVqhMZo0zG,IM_zLbGdV01rxORYdo,1",IM_zLbGdV01rxORYdo,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Man,,50+,Yes,12,12
